,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,RBS,FW,WP$,Segment_x,WC_x,Analytic_x,Clout_x,Authentic_x,Tone_x,WPS_x,Sixltr_x,Dic_x,function_x,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,compare_x,interrog_x,number_x,quant_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,social_x,family_x,friend_x,female_x,male_x,cogproc_x,insight_x,cause_x,discrep_x,tentat_x,certain_x,differ_x,percept_x,see_x,hear_x,feel_x,bio_x,body_x,health_x,sexual_x,ingest_x,drives_x,affiliation_x,achieve_x,power_x,reward_x,risk_x,focuspast_x,focuspresent_x,focusfuture_x,relativ_x,motion_x,space_x,time_x,work_x,leisure_x,home_x,money_x,relig_x,death_x,informal_x,swear_x,netspeak_x,assent_x,nonflu_x,filler_x,AllPunc_x,Period_x,Comma_x,Colon_x,SemiC_x,QMark_x,Exclam_x,Dash_x,Quote_x,Apostro_x,Parenth_x,OtherP_x,Segment_y,WC_y,Analytic_y,Clout_y,Authentic_y,Tone_y,WPS_y,Sixltr_y,Dic_y,function_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,compare_y,interrog_y,number_y,quant_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,social_y,family_y,friend_y,female_y,male_y,cogproc_y,insight_y,cause_y,discrep_y,tentat_y,certain_y,differ_y,percept_y,see_y,hear_y,feel_y,bio_y,body_y,health_y,sexual_y,ingest_y,drives_y,affiliation_y,achieve_y,power_y,reward_y,risk_y,focuspast_y,focuspresent_y,focusfuture_y,relativ_y,motion_y,space_y,time_y,work_y,leisure_y,home_y,money_y,relig_y,death_y,informal_y,swear_y,netspeak_y,assent_y,nonflu_y,filler_y,AllPunc_y,Period_y,Comma_y,Colon_y,SemiC_y,QMark_y,Exclam_y,Dash_y,Quote_y,Apostro_y,Parenth_y,OtherP_y
10,Reagan - Speech2 - Edited.txt,0.2620533182076007,3526.0,924.0,24.2875,10.0,9.0,121.0,2.0,5.0,197.0,160.0,4.0,132.0,34.0,383.0,21.0,458.0,173.0,6.0,7.0,81.0,418.0,81.0,5.0,140.0,5.0,3.0,327.0,38.0,223.0,5.0,11.0,114.0,6.0,189.0,87.0,102.0,87.0,192.0,96.0,38.0,31.0,19.0,5.0,1.0,0.0,0.0,1,3463,49.46,76.39,45.55,52.3,21.64,16.23,90.53,61.91,18.08,9.44,2.92,4.53,0.72,0.09,1.18,8.61,7.62,14.84,11.29,5.23,6.81,2.19,19.52,3.23,2.14,1.93,1.79,2.45,4.01,2.69,1.27,0.29,0.2,0.26,10.42,0.03,0.26,0.09,0.06,13.66,3.61,1.93,2.17,2.97,1.33,3.38,1.39,0.55,0.52,0.17,0.81,0.12,0.64,0.09,0.09,11.03,5.08,1.76,2.45,1.53,0.72,4.27,12.71,1.91,12.68,2.14,6.5,4.22,3.12,0.06,0.17,1.3,0.12,0.35,0.61,0.0,0.0,0.14,0.4,0.06,13.8,4.56,5.8,0.06,0.06,0.12,0.0,0.17,0.29,2.69,0.0,0.06,1,3463,49.46,76.39,45.55,52.3,21.64,16.23,90.53,61.91,18.08,9.44,2.92,4.53,0.72,0.09,1.18,8.61,7.62,14.84,11.29,5.23,6.81,2.19,19.52,3.23,2.14,1.93,1.79,2.45,4.01,2.69,1.27,0.29,0.2,0.26,10.42,0.03,0.26,0.09,0.06,13.66,3.61,1.93,2.17,2.97,1.33,3.38,1.39,0.55,0.52,0.17,0.81,0.12,0.64,0.09,0.09,11.03,5.08,1.76,2.45,1.53,0.72,4.27,12.71,1.91,12.68,2.14,6.5,4.22,3.12,0.06,0.17,1.3,0.12,0.35,0.61,0.0,0.0,0.14,0.4,0.06,13.8,4.56,5.8,0.06,0.06,0.12,0.0,0.17,0.29,2.69,0.0,0.06
11,Reagan - Speech46 - Edited.txt,0.26599113362887905,3158.0,840.0,24.3006993006993,10.0,12.0,112.0,7.0,7.0,171.0,143.0,7.0,121.0,44.0,335.0,29.0,416.0,150.0,16.0,3.0,49.0,326.0,87.0,1.0,123.0,4.0,5.0,293.0,35.0,213.0,2.0,15.0,109.0,11.0,171.0,115.0,69.0,80.0,147.0,98.0,28.0,16.0,20.0,7.0,1.0,1.0,0.0,1,3110,39.8,78.37,38.17,47.15,21.45,16.17,91.61,62.99,19.29,9.97,2.8,3.09,0.8,1.77,1.51,9.32,6.88,14.44,11.29,6.5,7.2,1.61,19.13,3.44,2.28,1.51,2.03,2.15,3.99,2.51,1.35,0.06,0.48,0.1,11.58,0.03,0.0,0.03,1.96,11.16,2.41,1.38,1.8,2.44,1.61,3.22,1.58,0.35,0.93,0.23,0.29,0.19,0.1,0.0,0.0,9.87,4.08,1.38,3.18,1.16,0.58,5.21,12.64,1.19,14.34,2.38,7.01,5.11,3.34,0.26,0.26,1.7,0.23,0.1,0.93,0.0,0.1,0.26,0.58,0.0,14.34,4.69,5.53,0.06,0.16,0.13,0.0,0.51,0.45,2.57,0.0,0.23,1,3110,39.8,78.37,38.17,47.15,21.45,16.17,91.61,62.99,19.29,9.97,2.8,3.09,0.8,1.77,1.51,9.32,6.88,14.44,11.29,6.5,7.2,1.61,19.13,3.44,2.28,1.51,2.03,2.15,3.99,2.51,1.35,0.06,0.48,0.1,11.58,0.03,0.0,0.03,1.96,11.16,2.41,1.38,1.8,2.44,1.61,3.22,1.58,0.35,0.93,0.23,0.29,0.19,0.1,0.0,0.0,9.87,4.08,1.38,3.18,1.16,0.58,5.21,12.64,1.19,14.34,2.38,7.01,5.11,3.34,0.26,0.26,1.7,0.23,0.1,0.93,0.0,0.1,0.26,0.58,0.0,14.34,4.69,5.53,0.06,0.16,0.13,0.0,0.51,0.45,2.57,0.0,0.23
12,Reagan - Speech43 - Edited.txt,0.2738301559792028,2885.0,790.0,24.50769230769231,12.0,15.0,113.0,3.0,0.0,168.0,130.0,6.0,146.0,29.0,308.0,18.0,368.0,121.0,8.0,4.0,65.0,299.0,81.0,2.0,111.0,3.0,1.0,267.0,39.0,184.0,4.0,14.0,101.0,5.0,162.0,97.0,75.0,84.0,142.0,75.0,21.0,19.0,24.0,0.0,1.0,1.0,0.0,1,2844,30.67,73.43,40.22,39.61,21.55,16.56,91.46,64.35,19.06,9.81,3.2,3.76,0.91,0.42,1.51,9.25,6.36,14.06,12.69,5.91,8.51,2.29,20.29,3.45,2.07,1.83,1.2,2.14,4.22,2.46,1.69,0.28,0.39,0.14,10.94,0.0,0.04,0.0,0.53,14.8,3.52,1.72,2.07,3.2,2.04,3.87,1.37,0.32,0.81,0.25,0.25,0.18,0.11,0.0,0.0,10.2,4.29,1.83,3.16,1.3,0.67,5.45,12.27,1.48,11.43,1.69,6.12,3.66,2.88,0.14,0.04,0.98,0.0,0.07,0.74,0.0,0.04,0.28,0.42,0.0,14.1,4.4,5.91,0.14,0.11,0.32,0.0,0.35,0.0,2.64,0.0,0.25,1,2844,30.67,73.43,40.22,39.61,21.55,16.56,91.46,64.35,19.06,9.81,3.2,3.76,0.91,0.42,1.51,9.25,6.36,14.06,12.69,5.91,8.51,2.29,20.29,3.45,2.07,1.83,1.2,2.14,4.22,2.46,1.69,0.28,0.39,0.14,10.94,0.0,0.04,0.0,0.53,14.8,3.52,1.72,2.07,3.2,2.04,3.87,1.37,0.32,0.81,0.25,0.25,0.18,0.11,0.0,0.0,10.2,4.29,1.83,3.16,1.3,0.67,5.45,12.27,1.48,11.43,1.69,6.12,3.66,2.88,0.14,0.04,0.98,0.0,0.07,0.74,0.0,0.04,0.28,0.42,0.0,14.1,4.4,5.91,0.14,0.11,0.32,0.0,0.35,0.0,2.64,0.0,0.25
13,Reagan - Speech21 - Edited.txt,0.24596983879355175,3846.0,946.0,22.192708333333332,12.0,18.0,136.0,0.0,3.0,221.0,192.0,9.0,170.0,13.0,418.0,43.0,490.0,206.0,11.0,2.0,76.0,424.0,111.0,7.0,148.0,5.0,5.0,342.0,52.0,253.0,4.0,17.0,118.0,10.0,208.0,120.0,99.0,123.0,176.0,94.0,39.0,24.0,25.0,3.0,0.0,0.0,0.0,1,3757,39.5,69.35,44.19,38.04,19.57,16.69,90.1,62.52,17.97,9.29,3.38,2.42,0.9,0.72,1.86,8.68,6.87,14.35,12.19,6.31,7.61,1.81,19.75,3.41,2.13,1.65,0.72,2.42,4.37,2.48,1.78,0.32,0.88,0.27,10.3,0.03,0.05,0.08,0.83,13.6,2.45,2.45,1.52,3.91,1.57,3.38,1.25,0.29,0.67,0.19,0.32,0.05,0.24,0.0,0.03,9.98,3.19,1.78,3.83,1.28,0.51,5.59,11.74,1.57,13.15,1.84,7.59,3.94,2.48,0.13,0.16,0.24,0.19,0.24,0.8,0.0,0.0,0.37,0.43,0.0,14.85,4.71,5.88,0.05,0.19,0.4,0.0,0.32,0.16,3.09,0.0,0.05,1,3757,39.5,69.35,44.19,38.04,19.57,16.69,90.1,62.52,17.97,9.29,3.38,2.42,0.9,0.72,1.86,8.68,6.87,14.35,12.19,6.31,7.61,1.81,19.75,3.41,2.13,1.65,0.72,2.42,4.37,2.48,1.78,0.32,0.88,0.27,10.3,0.03,0.05,0.08,0.83,13.6,2.45,2.45,1.52,3.91,1.57,3.38,1.25,0.29,0.67,0.19,0.32,0.05,0.24,0.0,0.03,9.98,3.19,1.78,3.83,1.28,0.51,5.59,11.74,1.57,13.15,1.84,7.59,3.94,2.48,0.13,0.16,0.24,0.19,0.24,0.8,0.0,0.0,0.37,0.43,0.0,14.85,4.71,5.88,0.05,0.19,0.4,0.0,0.32,0.16,3.09,0.0,0.05
14,Reagan - Speech1 - Edited.txt,0.2882032667876588,2755.0,794.0,23.852713178294575,10.0,9.0,131.0,0.0,2.0,192.0,129.0,5.0,106.0,24.0,293.0,14.0,348.0,136.0,4.0,2.0,66.0,304.0,104.0,6.0,100.0,4.0,2.0,246.0,28.0,185.0,3.0,15.0,110.0,7.0,184.0,57.0,54.0,71.0,153.0,62.0,25.0,21.0,9.0,2.0,3.0,0.0,1.0,1,2685,48.88,69.91,50.78,51.56,20.65,17.17,90.32,61.04,17.39,8.86,3.24,2.91,1.04,0.07,1.6,8.53,6.74,15.49,11.62,5.4,7.19,1.97,19.22,3.58,2.09,1.45,1.42,2.53,3.58,2.42,1.04,0.04,0.45,0.07,9.61,0.0,0.11,0.07,0.15,13.22,3.5,1.6,2.16,2.64,1.71,3.13,1.56,0.56,0.52,0.34,0.48,0.3,0.04,0.0,0.15,9.35,3.84,1.71,3.09,1.01,0.45,4.39,12.7,1.53,13.48,2.09,7.52,4.32,3.65,0.07,0.19,0.56,0.19,0.04,0.74,0.0,0.04,0.22,0.48,0.0,15.83,4.8,7.19,0.04,0.15,0.11,0.0,0.34,0.15,2.83,0.0,0.22,1,2685,48.88,69.91,50.78,51.56,20.65,17.17,90.32,61.04,17.39,8.86,3.24,2.91,1.04,0.07,1.6,8.53,6.74,15.49,11.62,5.4,7.19,1.97,19.22,3.58,2.09,1.45,1.42,2.53,3.58,2.42,1.04,0.04,0.45,0.07,9.61,0.0,0.11,0.07,0.15,13.22,3.5,1.6,2.16,2.64,1.71,3.13,1.56,0.56,0.52,0.34,0.48,0.3,0.04,0.0,0.15,9.35,3.84,1.71,3.09,1.01,0.45,4.39,12.7,1.53,13.48,2.09,7.52,4.32,3.65,0.07,0.19,0.56,0.19,0.04,0.74,0.0,0.04,0.22,0.48,0.0,15.83,4.8,7.19,0.04,0.15,0.11,0.0,0.34,0.15,2.83,0.0,0.22
15,Reagan - Speech7 - Edited.txt,0.2521808088818398,3783.0,954.0,22.86813186813187,23.0,14.0,147.0,4.0,2.0,196.0,182.0,7.0,134.0,30.0,399.0,21.0,500.0,194.0,13.0,5.0,82.0,430.0,82.0,0.0,138.0,2.0,3.0,366.0,35.0,244.0,5.0,13.0,114.0,5.0,189.0,122.0,106.0,123.0,211.0,114.0,40.0,32.0,16.0,2.0,1.0,0.0,0.0,1,3704,37.51,67.48,43.05,44.56,20.35,16.66,90.96,63.26,18.95,9.34,3.56,3.16,0.78,0.81,1.03,9.61,7.24,13.93,13.5,4.78,7.24,2.11,20.95,3.86,2.24,1.59,1.3,2.29,3.81,2.38,1.35,0.13,0.32,0.19,9.67,0.05,0.05,0.11,0.76,12.96,3.35,1.89,2.0,2.75,1.43,3.4,1.08,0.43,0.54,0.08,0.7,0.11,0.46,0.13,0.11,9.69,3.81,1.32,3.27,0.84,0.94,5.51,13.04,2.24,12.45,1.89,6.34,4.45,3.86,0.03,0.03,1.08,0.08,0.13,0.57,0.0,0.0,0.08,0.49,0.0,14.23,4.75,5.4,0.03,0.16,0.16,0.0,0.3,0.11,3.21,0.0,0.11,1,3704,37.51,67.48,43.05,44.56,20.35,16.66,90.96,63.26,18.95,9.34,3.56,3.16,0.78,0.81,1.03,9.61,7.24,13.93,13.5,4.78,7.24,2.11,20.95,3.86,2.24,1.59,1.3,2.29,3.81,2.38,1.35,0.13,0.32,0.19,9.67,0.05,0.05,0.11,0.76,12.96,3.35,1.89,2.0,2.75,1.43,3.4,1.08,0.43,0.54,0.08,0.7,0.11,0.46,0.13,0.11,9.69,3.81,1.32,3.27,0.84,0.94,5.51,13.04,2.24,12.45,1.89,6.34,4.45,3.86,0.03,0.03,1.08,0.08,0.13,0.57,0.0,0.0,0.08,0.49,0.0,14.23,4.75,5.4,0.03,0.16,0.16,0.0,0.3,0.11,3.21,0.0,0.11
16,Reagan - Speech30 - Edited.txt,0.28179871520342614,2335.0,658.0,23.636363636363637,8.0,6.0,77.0,2.0,3.0,154.0,110.0,1.0,94.0,45.0,251.0,13.0,336.0,106.0,8.0,5.0,34.0,263.0,60.0,3.0,78.0,3.0,5.0,223.0,38.0,153.0,0.0,6.0,82.0,4.0,100.0,86.0,58.0,63.0,97.0,68.0,18.0,14.0,10.0,3.0,3.0,0.0,0.0,1,2294,39.98,71.46,48.91,51.03,20.67,15.34,90.02,63.25,19.83,10.55,3.84,3.62,0.96,0.65,1.48,9.24,6.97,14.86,10.94,6.45,7.59,1.53,18.44,3.1,2.18,1.61,2.62,3.27,3.79,2.53,1.18,0.26,0.39,0.17,10.07,0.0,0.04,0.0,0.7,12.95,3.14,0.87,1.61,3.66,1.96,3.62,1.53,0.22,0.74,0.48,0.65,0.13,0.31,0.0,0.22,9.07,4.53,1.35,2.01,1.22,0.48,5.36,10.42,1.53,12.51,2.22,6.06,4.32,1.61,0.22,0.09,0.74,0.04,0.0,0.87,0.0,0.04,0.22,0.61,0.0,14.73,4.97,6.71,0.0,0.04,0.04,0.0,0.22,0.26,2.22,0.0,0.26,1,2294,39.98,71.46,48.91,51.03,20.67,15.34,90.02,63.25,19.83,10.55,3.84,3.62,0.96,0.65,1.48,9.24,6.97,14.86,10.94,6.45,7.59,1.53,18.44,3.1,2.18,1.61,2.62,3.27,3.79,2.53,1.18,0.26,0.39,0.17,10.07,0.0,0.04,0.0,0.7,12.95,3.14,0.87,1.61,3.66,1.96,3.62,1.53,0.22,0.74,0.48,0.65,0.13,0.31,0.0,0.22,9.07,4.53,1.35,2.01,1.22,0.48,5.36,10.42,1.53,12.51,2.22,6.06,4.32,1.61,0.22,0.09,0.74,0.04,0.0,0.87,0.0,0.04,0.22,0.61,0.0,14.73,4.97,6.71,0.0,0.04,0.04,0.0,0.22,0.26,2.22,0.0,0.26
17,Reagan - Speech35 - Edited.txt,0.24905558553696708,3706.0,923.0,20.78391959798995,19.0,23.0,130.0,2.0,2.0,231.0,199.0,2.0,183.0,37.0,353.0,16.0,479.0,180.0,7.0,1.0,89.0,365.0,75.0,5.0,142.0,3.0,2.0,403.0,53.0,302.0,7.0,18.0,111.0,4.0,197.0,102.0,90.0,94.0,207.0,102.0,18.0,33.0,17.0,2.0,3.0,0.0,0.0,1,3606,21.08,77.88,48.66,29.0,18.03,14.45,91.32,64.39,21.85,11.59,3.41,4.44,1.0,1.58,1.16,10.26,5.27,13.34,11.37,6.79,8.43,2.36,19.86,3.33,2.16,1.75,1.3,2.14,3.83,1.97,1.77,0.47,0.8,0.14,12.09,0.03,0.03,0.03,1.64,14.53,3.08,1.58,1.97,3.77,1.83,4.08,2.05,0.44,1.0,0.28,0.53,0.31,0.19,0.0,0.03,9.71,5.07,1.36,2.25,1.14,0.5,4.27,13.06,1.69,13.78,2.02,7.07,5.02,2.05,0.17,0.06,0.89,0.11,0.11,0.72,0.0,0.06,0.11,0.55,0.0,16.11,5.32,6.41,0.06,0.06,0.31,0.0,0.17,0.11,3.49,0.0,0.19,1,3606,21.08,77.88,48.66,29.0,18.03,14.45,91.32,64.39,21.85,11.59,3.41,4.44,1.0,1.58,1.16,10.26,5.27,13.34,11.37,6.79,8.43,2.36,19.86,3.33,2.16,1.75,1.3,2.14,3.83,1.97,1.77,0.47,0.8,0.14,12.09,0.03,0.03,0.03,1.64,14.53,3.08,1.58,1.97,3.77,1.83,4.08,2.05,0.44,1.0,0.28,0.53,0.31,0.19,0.0,0.03,9.71,5.07,1.36,2.25,1.14,0.5,4.27,13.06,1.69,13.78,2.02,7.07,5.02,2.05,0.17,0.06,0.89,0.11,0.11,0.72,0.0,0.06,0.11,0.55,0.0,16.11,5.32,6.41,0.06,0.06,0.31,0.0,0.17,0.11,3.49,0.0,0.19
18,Reagan - Speech36 - Edited.txt,0.29541446208112876,2268.0,670.0,21.921739130434784,5.0,14.0,79.0,0.0,2.0,138.0,115.0,2.0,89.0,27.0,246.0,10.0,300.0,114.0,4.0,1.0,36.0,247.0,40.0,4.0,100.0,4.0,4.0,204.0,20.0,153.0,6.0,7.0,96.0,4.0,127.0,69.0,53.0,64.0,115.0,59.0,30.0,20.0,7.0,2.0,2.0,0.0,0.0,1,2231,39.93,74.51,44.21,33.5,19.4,16.63,92.78,62.8,19.77,9.23,2.87,3.23,0.67,0.36,2.11,10.53,6.1,14.79,11.61,4.93,7.17,1.93,19.05,3.81,2.29,1.79,1.43,2.91,5.38,2.91,2.47,0.94,0.94,0.36,11.56,0.09,0.09,0.04,0.58,14.88,3.54,2.06,1.57,3.32,2.47,4.08,1.84,0.4,0.94,0.27,0.49,0.27,0.09,0.0,0.13,9.32,4.21,1.66,2.73,0.81,0.4,4.62,12.15,2.02,11.56,2.11,6.32,3.32,1.79,0.04,0.31,0.49,0.0,0.22,0.94,0.0,0.04,0.22,0.67,0.0,14.39,4.84,6.19,0.0,0.09,0.31,0.0,0.31,0.18,2.38,0.0,0.09,1,2231,39.93,74.51,44.21,33.5,19.4,16.63,92.78,62.8,19.77,9.23,2.87,3.23,0.67,0.36,2.11,10.53,6.1,14.79,11.61,4.93,7.17,1.93,19.05,3.81,2.29,1.79,1.43,2.91,5.38,2.91,2.47,0.94,0.94,0.36,11.56,0.09,0.09,0.04,0.58,14.88,3.54,2.06,1.57,3.32,2.47,4.08,1.84,0.4,0.94,0.27,0.49,0.27,0.09,0.0,0.13,9.32,4.21,1.66,2.73,0.81,0.4,4.62,12.15,2.02,11.56,2.11,6.32,3.32,1.79,0.04,0.31,0.49,0.0,0.22,0.94,0.0,0.04,0.22,0.67,0.0,14.39,4.84,6.19,0.0,0.09,0.31,0.0,0.31,0.18,2.38,0.0,0.09
19,Reagan - Speech6 - Edited.txt,0.25403119217552206,3783.0,961.0,25.005988023952096,9.0,13.0,134.0,2.0,3.0,221.0,168.0,9.0,173.0,41.0,432.0,16.0,497.0,182.0,8.0,2.0,94.0,474.0,89.0,3.0,146.0,3.0,4.0,334.0,54.0,240.0,1.0,21.0,102.0,7.0,192.0,120.0,86.0,100.0,173.0,89.0,34.0,34.0,17.0,3.0,1.0,0.0,1.0,1,3710,41.42,67.07,56.77,38.73,22.22,16.93,90.16,62.26,18.84,9.49,3.56,3.02,1.56,0.22,1.13,9.35,7.6,13.42,11.54,5.12,7.2,2.32,17.79,2.75,1.43,1.86,1.73,2.51,3.34,2.02,1.29,0.22,0.16,0.11,9.38,0.03,0.11,0.11,0.22,14.37,3.56,2.29,1.4,3.56,1.59,3.67,1.24,0.19,0.65,0.24,0.13,0.08,0.05,0.0,0.0,8.95,3.5,1.83,2.8,1.24,0.59,4.56,11.21,1.67,12.86,2.37,6.74,4.31,3.67,0.03,0.08,1.62,0.08,0.11,0.59,0.0,0.03,0.13,0.43,0.0,13.72,4.45,5.98,0.08,0.16,0.13,0.0,0.24,0.16,2.43,0.0,0.08,1,3710,41.42,67.07,56.77,38.73,22.22,16.93,90.16,62.26,18.84,9.49,3.56,3.02,1.56,0.22,1.13,9.35,7.6,13.42,11.54,5.12,7.2,2.32,17.79,2.75,1.43,1.86,1.73,2.51,3.34,2.02,1.29,0.22,0.16,0.11,9.38,0.03,0.11,0.11,0.22,14.37,3.56,2.29,1.4,3.56,1.59,3.67,1.24,0.19,0.65,0.24,0.13,0.08,0.05,0.0,0.0,8.95,3.5,1.83,2.8,1.24,0.59,4.56,11.21,1.67,12.86,2.37,6.74,4.31,3.67,0.03,0.08,1.62,0.08,0.11,0.59,0.0,0.03,0.13,0.43,0.0,13.72,4.45,5.98,0.08,0.16,0.13,0.0,0.24,0.16,2.43,0.0,0.08
20,Reagan - Speech32 - Edited.txt,0.24224440248179122,3707.0,898.0,24.124260355029588,12.0,16.0,135.0,2.0,8.0,201.0,169.0,8.0,153.0,52.0,412.0,18.0,506.0,170.0,14.0,11.0,89.0,408.0,57.0,6.0,156.0,4.0,4.0,366.0,45.0,242.0,7.0,23.0,106.0,7.0,201.0,71.0,82.0,98.0,198.0,102.0,30.0,25.0,17.0,8.0,1.0,0.0,0.0,1,3576,40.39,78.65,44.27,24.88,21.16,16.28,91.75,62.61,20.16,10.12,2.77,4.56,0.78,0.42,1.59,10.04,6.77,14.96,11.38,5.29,7.13,2.13,18.9,4.59,2.63,1.4,1.87,2.82,5.73,2.74,2.8,0.36,1.54,0.31,11.38,0.06,0.11,0.03,0.42,13.79,3.02,1.45,2.21,3.22,1.9,3.89,1.59,0.67,0.7,0.25,0.56,0.2,0.31,0.06,0.0,11.16,5.51,1.45,2.74,1.45,0.92,4.11,13.06,1.51,13.09,1.43,8.33,3.44,2.66,0.14,0.08,1.2,0.0,0.31,0.59,0.0,0.0,0.11,0.48,0.0,15.41,4.47,5.62,0.0,0.22,0.25,0.0,0.28,0.45,4.0,0.0,0.11,1,3576,40.39,78.65,44.27,24.88,21.16,16.28,91.75,62.61,20.16,10.12,2.77,4.56,0.78,0.42,1.59,10.04,6.77,14.96,11.38,5.29,7.13,2.13,18.9,4.59,2.63,1.4,1.87,2.82,5.73,2.74,2.8,0.36,1.54,0.31,11.38,0.06,0.11,0.03,0.42,13.79,3.02,1.45,2.21,3.22,1.9,3.89,1.59,0.67,0.7,0.25,0.56,0.2,0.31,0.06,0.0,11.16,5.51,1.45,2.74,1.45,0.92,4.11,13.06,1.51,13.09,1.43,8.33,3.44,2.66,0.14,0.08,1.2,0.0,0.31,0.59,0.0,0.0,0.11,0.48,0.0,15.41,4.47,5.62,0.0,0.22,0.25,0.0,0.28,0.45,4.0,0.0,0.11
21,Reagan - Speech8 - Edited.txt,0.2765300393037619,3562.0,985.0,23.78787878787879,14.0,15.0,119.0,2.0,4.0,197.0,165.0,4.0,135.0,32.0,378.0,28.0,483.0,172.0,11.0,4.0,76.0,438.0,143.0,4.0,151.0,4.0,9.0,276.0,49.0,226.0,4.0,19.0,115.0,14.0,199.0,120.0,93.0,63.0,152.0,73.0,33.0,30.0,15.0,4.0,0.0,0.0,0.0,1,3486,50.93,69.21,53.62,59.45,20.75,18.3,90.1,59.98,17.47,8.92,3.16,2.67,0.89,0.63,1.58,8.55,6.77,14.95,10.36,5.77,6.66,2.09,18.36,3.33,1.95,1.66,1.26,2.52,3.67,2.73,0.95,0.03,0.2,0.09,10.33,0.23,0.11,0.09,0.72,13.17,2.98,1.66,1.75,3.47,1.41,3.61,1.52,0.23,1.06,0.17,0.52,0.2,0.17,0.0,0.14,8.78,3.56,1.12,2.81,1.03,0.72,4.22,11.19,1.75,14.17,2.21,7.83,4.42,3.67,0.14,0.23,1.95,0.11,0.0,0.86,0.0,0.0,0.34,0.52,0.0,14.4,4.65,5.65,0.03,0.09,0.2,0.0,0.4,0.23,2.87,0.0,0.29,1,3486,50.93,69.21,53.62,59.45,20.75,18.3,90.1,59.98,17.47,8.92,3.16,2.67,0.89,0.63,1.58,8.55,6.77,14.95,10.36,5.77,6.66,2.09,18.36,3.33,1.95,1.66,1.26,2.52,3.67,2.73,0.95,0.03,0.2,0.09,10.33,0.23,0.11,0.09,0.72,13.17,2.98,1.66,1.75,3.47,1.41,3.61,1.52,0.23,1.06,0.17,0.52,0.2,0.17,0.0,0.14,8.78,3.56,1.12,2.81,1.03,0.72,4.22,11.19,1.75,14.17,2.21,7.83,4.42,3.67,0.14,0.23,1.95,0.11,0.0,0.86,0.0,0.0,0.34,0.52,0.0,14.4,4.65,5.65,0.03,0.09,0.2,0.0,0.4,0.23,2.87,0.0,0.29
22,Reagan - Speech19 - Edited.txt,0.2640113798008535,3515.0,928.0,23.938271604938272,16.0,15.0,138.0,0.0,2.0,200.0,162.0,4.0,149.0,25.0,367.0,35.0,451.0,165.0,6.0,2.0,59.0,376.0,129.0,3.0,143.0,1.0,3.0,301.0,54.0,238.0,3.0,25.0,112.0,4.0,190.0,78.0,84.0,103.0,194.0,107.0,38.0,38.0,23.0,2.0,2.0,0.0,0.0,1,3447,37.57,74.13,43.68,49.53,21.28,16.8,89.73,62.55,18.65,9.02,2.81,3.28,0.7,0.12,2.12,9.6,6.53,14.48,11.17,6.76,7.4,2.41,19.29,2.67,1.62,1.91,1.39,2.0,3.92,2.58,1.31,0.32,0.55,0.09,10.79,0.09,0.26,0.2,0.2,13.75,3.34,1.54,2.44,4.0,1.6,3.08,1.13,0.38,0.35,0.29,0.46,0.06,0.32,0.03,0.09,10.07,4.44,1.48,3.16,0.99,0.52,4.09,12.91,1.74,13.37,2.09,7.72,3.66,2.15,0.15,0.2,0.64,0.03,0.26,0.73,0.0,0.0,0.15,0.58,0.0,14.39,4.35,5.83,0.03,0.09,0.38,0.0,0.38,0.12,3.1,0.0,0.12,1,3447,37.57,74.13,43.68,49.53,21.28,16.8,89.73,62.55,18.65,9.02,2.81,3.28,0.7,0.12,2.12,9.6,6.53,14.48,11.17,6.76,7.4,2.41,19.29,2.67,1.62,1.91,1.39,2.0,3.92,2.58,1.31,0.32,0.55,0.09,10.79,0.09,0.26,0.2,0.2,13.75,3.34,1.54,2.44,4.0,1.6,3.08,1.13,0.38,0.35,0.29,0.46,0.06,0.32,0.03,0.09,10.07,4.44,1.48,3.16,0.99,0.52,4.09,12.91,1.74,13.37,2.09,7.72,3.66,2.15,0.15,0.2,0.64,0.03,0.26,0.73,0.0,0.0,0.15,0.58,0.0,14.39,4.35,5.83,0.03,0.09,0.38,0.0,0.38,0.12,3.1,0.0,0.12
