,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,.,CC,CD,DT,IN,JJ,NN,NNS,PDT,POS,PRP,RB,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WP,",",EX,PRP$,UH,JJR,MD,WDT,WRB,RBR,NNP,JJS,'',$
10,651-0.flo.cex,0.7777777777777778,27.0,21.0,6.4,1.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,144-1.flo.cex,0.6338028169014085,142.0,90.0,12.833333333333334,3.0,1.0,7.0,12.0,8.0,1.0,16.0,12.0,11.0,15.0,7.0,0.0,0.0,11.0,14.0,1.0,4.0,8.0,5.0,5.0,1.0,3.0,10.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
12,539-0.flo.cex,0.425,160.0,68.0,8.619047619047619,5.0,0.0,4.0,21.0,13.0,0.0,17.0,15.0,4.0,20.0,2.0,0.0,2.0,20.0,13.0,5.0,3.0,5.0,1.0,10.0,0.0,5.0,14.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,203-1.flo.cex,0.6481481481481481,54.0,35.0,6.5,0.0,0.0,2.0,10.0,4.0,2.0,8.0,2.0,0.0,9.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,381-1.flo.cex,0.6486486486486487,74.0,48.0,10.25,1.0,0.0,0.0,8.0,5.0,0.0,11.0,11.0,0.0,15.0,2.0,0.0,1.0,4.0,6.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,046-2.flo.cex,0.6538461538461539,52.0,34.0,4.714285714285714,0.0,0.0,3.0,14.0,3.0,0.0,7.0,2.0,1.0,10.0,5.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,066-0.flo.cex,0.5403225806451613,124.0,67.0,11.416666666666666,1.0,0.0,1.0,12.0,5.0,0.0,20.0,11.0,1.0,18.0,2.0,0.0,4.0,13.0,12.0,3.0,3.0,6.0,0.0,6.0,1.0,3.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,057-1.flo.cex,0.5882352941176471,102.0,60.0,7.8,0.0,0.0,3.0,15.0,9.0,0.0,15.0,8.0,5.0,13.0,5.0,0.0,3.0,9.0,4.0,2.0,1.0,5.0,1.0,9.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,493-0.flo.cex,0.5454545454545454,154.0,84.0,8.7,1.0,2.0,7.0,20.0,9.0,1.0,18.0,18.0,2.0,20.0,11.0,0.0,0.0,18.0,12.0,1.0,0.0,9.0,5.0,3.0,4.0,9.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
19,471-0.flo.cex,0.7586206896551724,29.0,22.0,6.8,1.0,0.0,0.0,5.0,1.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,319-0.flo.cex,0.464,125.0,58.0,8.352941176470589,0.0,6.0,8.0,17.0,10.0,0.0,17.0,12.0,9.0,18.0,8.0,0.0,0.0,12.0,15.0,0.0,2.0,4.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,636-0.flo.cex,0.6571428571428571,35.0,23.0,8.0,0.0,0.0,2.0,5.0,3.0,0.0,6.0,2.0,1.0,4.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,120-3.flo.cex,0.6050420168067226,119.0,72.0,11.0,1.0,0.0,2.0,12.0,8.0,1.0,18.0,7.0,3.0,17.0,4.0,0.0,2.0,8.0,7.0,0.0,2.0,4.0,0.0,13.0,2.0,3.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,334-1.flo.cex,0.5093167701863354,161.0,82.0,12.571428571428571,1.0,1.0,5.0,14.0,14.0,1.0,21.0,16.0,1.0,21.0,6.0,0.0,1.0,16.0,5.0,4.0,4.0,8.0,3.0,13.0,1.0,4.0,17.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,573-0.flo.cex,0.639344262295082,122.0,78.0,8.625,2.0,2.0,2.0,16.0,10.0,1.0,16.0,7.0,4.0,19.0,3.0,0.0,0.0,12.0,5.0,1.0,3.0,6.0,3.0,9.0,0.0,3.0,10.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
25,157-0.flo.cex,0.5948275862068966,116.0,69.0,9.285714285714286,1.0,1.0,2.0,14.0,3.0,1.0,17.0,9.0,6.0,16.0,2.0,0.0,3.0,10.0,13.0,4.0,1.0,3.0,5.0,8.0,1.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
26,530-0.flo.cex,0.5671641791044776,67.0,38.0,7.181818181818182,1.0,1.0,1.0,11.0,6.0,0.0,12.0,2.0,3.0,17.0,4.0,0.0,2.0,6.0,3.0,1.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,016-4.flo.cex,0.5675675675675675,111.0,63.0,10.25,1.0,1.0,1.0,12.0,10.0,0.0,24.0,12.0,2.0,27.0,5.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,062-0.flo.cex,0.7083333333333334,72.0,51.0,10.0,0.0,1.0,3.0,8.0,3.0,0.0,10.0,6.0,4.0,15.0,0.0,0.0,1.0,7.0,4.0,0.0,2.0,3.0,2.0,4.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,050-0.flo.cex,0.7285714285714285,70.0,51.0,6.916666666666667,2.0,0.0,2.0,12.0,4.0,0.0,11.0,5.0,1.0,10.0,3.0,0.0,1.0,7.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,049-0.flo.cex,0.64,100.0,64.0,7.733333333333333,0.0,3.0,0.0,15.0,3.0,1.0,12.0,5.0,0.0,22.0,3.0,0.0,2.0,13.0,6.0,3.0,2.0,2.0,2.0,7.0,0.0,5.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,648-0.flo.cex,0.75,60.0,45.0,6.545454545454546,0.0,0.0,3.0,11.0,2.0,0.0,9.0,3.0,0.0,13.0,4.0,0.0,2.0,5.0,6.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,014-2.flo.cex,0.5161290322580645,124.0,64.0,8.75,1.0,4.0,2.0,16.0,6.0,1.0,19.0,10.0,4.0,20.0,4.0,0.0,2.0,10.0,14.0,3.0,1.0,2.0,3.0,8.0,1.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,033-4.flo.cex,0.5777777777777777,135.0,78.0,14.5,0.0,0.0,2.0,10.0,10.0,1.0,23.0,17.0,7.0,29.0,4.0,0.0,0.0,3.0,4.0,1.0,3.0,4.0,0.0,6.0,2.0,2.0,13.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,598-0.flo.cex,0.75,52.0,39.0,8.428571428571429,1.0,1.0,2.0,7.0,3.0,0.0,5.0,2.0,1.0,8.0,3.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,024-1.flo.cex,0.627906976744186,86.0,54.0,13.285714285714286,0.0,0.0,1.0,7.0,4.0,0.0,13.0,11.0,3.0,13.0,1.0,0.0,0.0,7.0,4.0,0.0,3.0,3.0,1.0,7.0,1.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,237-2.flo.cex,0.5393258426966292,178.0,96.0,10.944444444444445,1.0,1.0,2.0,18.0,6.0,2.0,26.0,16.0,7.0,31.0,4.0,0.0,0.0,18.0,7.0,2.0,4.0,6.0,1.0,13.0,1.0,5.0,20.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
37,676-0.flo.cex,0.660377358490566,53.0,35.0,11.6,0.0,0.0,1.0,5.0,4.0,0.0,7.0,2.0,0.0,7.0,1.0,0.0,1.0,7.0,1.0,3.0,3.0,3.0,0.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,029-1.flo.cex,0.4117647058823529,255.0,105.0,11.666666666666666,1.0,0.0,3.0,24.0,18.0,1.0,35.0,16.0,9.0,34.0,9.0,0.0,3.0,28.0,13.0,9.0,8.0,16.0,11.0,14.0,2.0,6.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
39,134-0.flo.cex,0.6237623762376238,101.0,63.0,13.625,1.0,0.0,5.0,8.0,9.0,2.0,14.0,10.0,4.0,14.0,3.0,0.0,0.0,5.0,3.0,2.0,4.0,6.0,1.0,4.0,2.0,1.0,10.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,120-2.flo.cex,0.6222222222222222,90.0,56.0,9.181818181818182,2.0,0.0,1.0,11.0,5.0,1.0,13.0,8.0,2.0,17.0,2.0,1.0,0.0,3.0,6.0,2.0,2.0,4.0,0.0,9.0,0.0,1.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,609-0.flo.cex,0.703125,64.0,45.0,7.4,3.0,0.0,0.0,10.0,3.0,0.0,6.0,5.0,0.0,10.0,2.0,0.0,0.0,7.0,5.0,0.0,1.0,3.0,1.0,8.0,0.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,120-4.flo.cex,0.6161616161616161,99.0,61.0,15.142857142857142,1.0,0.0,1.0,7.0,6.0,0.0,13.0,8.0,5.0,11.0,4.0,0.0,1.0,7.0,11.0,3.0,2.0,2.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,357-0.flo.cex,0.5185185185185185,108.0,56.0,7.8125,0.0,0.0,0.0,16.0,4.0,3.0,22.0,12.0,2.0,26.0,9.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,2.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,458-0.flo.cex,0.6805555555555556,72.0,49.0,7.0,0.0,0.0,4.0,12.0,5.0,0.0,10.0,5.0,0.0,12.0,3.0,0.0,2.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,580-0.flo.cex,0.5714285714285714,112.0,64.0,13.777777777777779,2.0,3.0,2.0,9.0,7.0,1.0,11.0,6.0,7.0,17.0,3.0,0.0,0.0,12.0,13.0,2.0,3.0,4.0,2.0,6.0,0.0,3.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
46,172-3.flo.cex,0.5977011494252874,87.0,52.0,12.0,1.0,0.0,0.0,8.0,5.0,0.0,15.0,10.0,3.0,18.0,3.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,9.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,461-0.flo.cex,0.4117647058823529,119.0,49.0,7.2631578947368425,0.0,0.0,1.0,19.0,7.0,0.0,31.0,13.0,1.0,32.0,5.0,1.0,5.0,5.0,0.0,4.0,1.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,212-1.flo.cex,0.6081081081081081,74.0,45.0,7.166666666666667,0.0,0.0,0.0,12.0,2.0,1.0,14.0,7.0,1.0,14.0,4.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,223-0.flo.cex,0.5419847328244275,131.0,71.0,8.333333333333334,5.0,1.0,4.0,18.0,8.0,3.0,21.0,16.0,1.0,21.0,3.0,0.0,3.0,12.0,6.0,0.0,2.0,5.0,1.0,9.0,1.0,1.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,220-0.flo.cex,0.4925373134328358,134.0,66.0,9.933333333333334,1.0,1.0,1.0,15.0,11.0,6.0,16.0,11.0,2.0,27.0,4.0,0.0,3.0,10.0,10.0,5.0,0.0,1.0,3.0,5.0,0.0,0.0,11.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,587-0.flo.cex,0.5714285714285714,91.0,52.0,9.272727272727273,1.0,1.0,1.0,11.0,7.0,0.0,11.0,8.0,1.0,17.0,0.0,0.0,1.0,7.0,5.0,3.0,3.0,4.0,1.0,7.0,0.0,1.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,311-0.flo.cex,0.7586206896551724,29.0,22.0,5.142857142857143,0.0,0.0,0.0,7.0,3.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,257-0.flo.cex,0.5304878048780488,164.0,87.0,9.4,1.0,0.0,1.0,20.0,9.0,3.0,25.0,21.0,8.0,27.0,13.0,0.0,1.0,11.0,8.0,1.0,4.0,6.0,4.0,3.0,0.0,3.0,10.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,065-1.flo.cex,0.6311475409836066,122.0,77.0,9.714285714285714,1.0,1.0,6.0,14.0,10.0,1.0,15.0,9.0,5.0,22.0,3.0,0.0,1.0,10.0,6.0,1.0,3.0,10.0,0.0,9.0,1.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,681-0.flo.cex,0.775,40.0,31.0,7.833333333333333,0.0,2.0,0.0,6.0,4.0,0.0,6.0,2.0,4.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,551-0.flo.cex,0.46564885496183206,131.0,61.0,7.947368421052632,1.0,1.0,2.0,19.0,8.0,2.0,15.0,11.0,0.0,15.0,3.0,0.0,0.0,18.0,14.0,1.0,1.0,2.0,6.0,6.0,0.0,3.0,16.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
57,051-3.flo.cex,0.5266666666666666,150.0,79.0,7.291666666666667,0.0,1.0,1.0,24.0,3.0,2.0,18.0,10.0,3.0,21.0,9.0,0.0,1.0,13.0,6.0,6.0,3.0,6.0,3.0,14.0,2.0,7.0,17.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,268-0.flo.cex,0.4866666666666667,300.0,146.0,11.379310344827585,3.0,0.0,8.0,29.0,12.0,0.0,44.0,30.0,17.0,52.0,17.0,1.0,6.0,23.0,16.0,1.0,7.0,11.0,9.0,14.0,2.0,13.0,12.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,154-1.flo.cex,0.8,35.0,28.0,9.75,2.0,3.0,2.0,4.0,0.0,0.0,6.0,7.0,1.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,468-0.flo.cex,0.6417910447761194,67.0,43.0,7.090909090909091,1.0,2.0,0.0,11.0,2.0,0.0,4.0,4.0,4.0,10.0,0.0,0.0,0.0,10.0,7.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
61,234-0.flo.cex,0.6521739130434783,69.0,45.0,8.666666666666666,1.0,0.0,2.0,9.0,3.0,0.0,8.0,8.0,0.0,9.0,2.0,0.0,0.0,7.0,5.0,1.0,3.0,5.0,0.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,057-0.flo.cex,0.5578947368421052,95.0,53.0,8.916666666666666,0.0,2.0,1.0,12.0,6.0,1.0,11.0,8.0,2.0,17.0,4.0,0.0,2.0,6.0,5.0,2.0,1.0,5.0,0.0,10.0,0.0,2.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,356-0.flo.cex,0.6493506493506493,77.0,50.0,7.0,1.0,0.0,1.0,13.0,3.0,1.0,14.0,6.0,1.0,14.0,1.0,0.0,3.0,5.0,5.0,2.0,0.0,2.0,1.0,7.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,337-0.flo.cex,0.5492957746478874,71.0,39.0,6.916666666666667,1.0,0.0,2.0,12.0,2.0,0.0,12.0,5.0,4.0,18.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,594-0.flo.cex,0.7241379310344828,58.0,42.0,10.666666666666666,0.0,0.0,3.0,6.0,3.0,0.0,8.0,5.0,1.0,11.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,023-2.flo.cex,0.6521739130434783,92.0,60.0,7.642857142857143,2.0,2.0,2.0,14.0,5.0,0.0,9.0,10.0,5.0,15.0,2.0,0.0,0.0,10.0,6.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,563-0.flo.cex,0.5888888888888889,90.0,53.0,9.181818181818182,0.0,0.0,4.0,11.0,5.0,0.0,19.0,8.0,3.0,17.0,1.0,0.0,2.0,5.0,5.0,1.0,1.0,3.0,0.0,6.0,1.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,640-0.flo.cex,0.7090909090909091,55.0,39.0,10.166666666666666,0.0,0.0,2.0,6.0,3.0,0.0,7.0,4.0,3.0,11.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,656-0.flo.cex,0.6666666666666666,48.0,32.0,7.857142857142857,1.0,0.0,1.0,7.0,3.0,0.0,9.0,2.0,3.0,10.0,2.0,0.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,650-0.flo.cex,0.6090225563909775,133.0,81.0,8.882352941176471,1.0,1.0,4.0,17.0,9.0,0.0,16.0,15.0,6.0,23.0,1.0,0.0,1.0,14.0,9.0,0.0,3.0,5.0,3.0,8.0,0.0,3.0,11.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,029-0.flo.cex,0.47244094488188976,127.0,60.0,9.466666666666667,0.0,0.0,2.0,15.0,10.0,0.0,18.0,13.0,4.0,18.0,3.0,1.0,0.0,15.0,5.0,1.0,1.0,5.0,3.0,9.0,0.0,4.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,035-0.flo.cex,0.6629213483146067,89.0,59.0,9.181818181818182,0.0,1.0,2.0,11.0,3.0,0.0,9.0,9.0,1.0,10.0,3.0,1.0,1.0,11.0,11.0,1.0,1.0,4.0,2.0,6.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,076-4.flo.cex,0.6486486486486487,111.0,72.0,11.090909090909092,4.0,0.0,8.0,11.0,9.0,0.0,9.0,8.0,4.0,9.0,3.0,1.0,0.0,19.0,9.0,3.0,4.0,8.0,6.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
